train_loss,validation_loss,test_loss,S1_loss,S2_loss,S3_loss
0.16746894,0.32261798,0.3213455,0.23359281,0.27085358,0.45959014
0.16438107,0.31322268,0.31018922,0.21645929,0.25622886,0.45787948
0.1575328,0.29446313,0.2860744,0.18714735,0.20904005,0.46203583
0.14508659,0.26225,0.24888824,0.14811862,0.14412698,0.45441914
0.12880994,0.22942,0.21354239,0.10370478,0.08701917,0.44990325
0.11167952,0.21961589,0.21150349,0.09423124,0.08742684,0.4528524
0.105935395,0.19641748,0.1908221,0.0669969,0.07062294,0.43484643
0.096786186,0.171685,0.16802329,0.05241845,0.036001723,0.41564968
0.08324376,0.16967265,0.17021792,0.07668207,0.02815696,0.40581474
0.08440126,0.16952586,0.17305124,0.09208113,0.04256795,0.38450468
0.086042136,0.16657345,0.1687672,0.0842115,0.04954485,0.37254527
0.08286152,0.14487946,0.14808998,0.07278937,0.047122855,0.32435772
0.07414919,0.12000784,0.12239984,0.056365147,0.03677865,0.27405572
0.06119181,0.09745994,0.09918063,0.054158334,0.024371123,0.21901245
0.05153951,0.09591051,0.10098614,0.04918957,0.025161197,0.22860764
0.047517452,0.13073641,0.13447918,0.06702764,0.03053555,0.30587435
0.07735325,0.067205034,0.07396587,0.047696806,0.032848448,0.14135237
0.03366061,0.10977659,0.123480424,0.03632557,0.026864834,0.30725092
0.053793095,0.041920897,0.041534863,0.038670093,0.023475403,0.062459096
0.023579072,0.07990527,0.07645874,0.04336739,0.02137082,0.164638
0.046914827,0.03241912,0.03229237,0.028482633,0.021109939,0.047284547
0.019763412,0.067954436,0.08145428,0.044956133,0.027193671,0.17221306
0.03638664,0.044877682,0.053977568,0.04010301,0.024565892,0.09726381
0.02552011,0.033294123,0.03195879,0.027138487,0.020481018,0.04825686
0.019697366,0.05003026,0.04710302,0.03208865,0.019883607,0.089336805
0.029789394,0.022931438,0.022606239,0.02698264,0.017884588,0.02295149
0.012695924,0.04535164,0.054541662,0.027563792,0.01711832,0.11894288
0.024515042,0.032574203,0.03787493,0.026848692,0.015630586,0.071145505
0.017884798,0.0236863,0.021396283,0.026773266,0.015303751,0.022111835
0.014412648,0.035310928,0.03297032,0.026481178,0.01583481,0.05659498
0.021415064,0.018650819,0.017668292,0.023098392,0.01551482,0.0143916635
0.011358129,0.029488962,0.033395946,0.025784729,0.015846552,0.058556546
0.01590725,0.028972752,0.032362066,0.025125844,0.015614851,0.0563455
0.015382442,0.017251357,0.016141761,0.022130167,0.014466976,0.011828141
0.009603447,0.025003402,0.02292361,0.023210965,0.013971765,0.0315881
0.015105826,0.02007266,0.017903145,0.022719989,0.01326764,0.017721815
0.01173902,0.018455049,0.01802417,0.02160119,0.013620227,0.018851094
0.009552545,0.025374964,0.027087204,0.021547507,0.014505785,0.045208316
0.013376321,0.017645929,0.017188748,0.020808613,0.013449244,0.01730839
0.009318969,0.017219301,0.015203914,0.020643938,0.01211142,0.012856383
0.010347269,0.018664371,0.016546007,0.020688098,0.011254463,0.017695462
0.011028801,0.014689347,0.0130534265,0.020560352,0.011299369,0.0073005594
0.008282479,0.019739581,0.020416316,0.02091522,0.012227134,0.028106594
0.010390818,0.01732249,0.01746839,0.02083145,0.0119129075,0.019660808
0.008686773,0.014195814,0.012520146,0.020924302,0.010836592,0.0057995454
