train_loss,validation_loss,test_loss,S1_loss,S2_loss,S3_loss
0.16786243,0.3259005,0.3247868,0.23724242,0.27430075,0.4628173
0.16604055,0.3217085,0.31942037,0.23461926,0.26184165,0.46180016
0.16199853,0.30750299,0.30206993,0.21998179,0.22836073,0.45786735
0.15410644,0.28300256,0.2722196,0.19278957,0.1699207,0.4539486
0.13996992,0.2509551,0.23408131,0.1568845,0.098669626,0.4466899
0.123157546,0.22183041,0.20439656,0.1188582,0.06089656,0.4334349
0.10710309,0.21450041,0.20784204,0.09382967,0.10247858,0.42721787
0.10626326,0.18236345,0.17866439,0.06809377,0.06672605,0.4011734
0.092944935,0.16650206,0.16513242,0.048609797,0.028916169,0.4178713
0.08001798,0.15414804,0.1548449,0.066110164,0.040890068,0.35753444
0.07812251,0.15420751,0.15533641,0.07412138,0.057901487,0.33398637
0.077183016,0.14343514,0.14739424,0.077451564,0.053475447,0.31125575
0.07291467,0.12035801,0.12541886,0.077243365,0.05365923,0.24535398
0.06510955,0.09904509,0.104017675,0.058219995,0.035280634,0.21855244
0.049732566,0.068695486,0.06906317,0.04544837,0.02616,0.13558115
0.037481684,0.06743695,0.07420862,0.033619013,0.026301427,0.1627054
0.03445488,0.09282246,0.093467884,0.03153214,0.0258963,0.22297521
0.05446524,0.06988271,0.08108356,0.036675587,0.03217738,0.17439774
0.037865225,0.038497128,0.042884253,0.030339949,0.028872354,0.069440454
0.021108376,0.05492934,0.0515674,0.030892305,0.023068728,0.100741155
0.03289403,0.029007643,0.026636882,0.029236443,0.02126292,0.029411288
0.017236324,0.055960372,0.06613984,0.029316297,0.02276544,0.14633779
0.03027587,0.027703142,0.029670179,0.028670011,0.020968724,0.039371803
0.015354311,0.0429519,0.040691096,0.032055605,0.020469256,0.069548436
0.026059652,0.025927126,0.024593046,0.028139668,0.01968744,0.025952032
0.015854102,0.038361296,0.04429307,0.032818697,0.020413868,0.07964664
0.020013874,0.031368714,0.03513553,0.03012889,0.018348245,0.056929454
0.017194884,0.024898877,0.023171837,0.025061132,0.015513196,0.02894118
0.014919102,0.030597826,0.028551955,0.026724184,0.015257811,0.043673877
0.017875506,0.021413837,0.020460792,0.02484435,0.015988043,0.020549987
0.011103426,0.034716833,0.038222082,0.023721976,0.01626693,0.074677356
0.017155016,0.02159696,0.021974782,0.023191279,0.014995265,0.027737807
0.01126629,0.022060206,0.020968093,0.02330761,0.014403075,0.025193606
0.014155918,0.020992562,0.020252861,0.022260128,0.014559236,0.023939217
0.012916178,0.017713867,0.017973423,0.022508273,0.014731016,0.01668098
0.009868386,0.025260305,0.027750727,0.023392918,0.014965339,0.044893928
0.013187379,0.016962275,0.016814014,0.020894522,0.013600559,0.015946958
0.009126731,0.018040465,0.016076626,0.020630702,0.01247082,0.015128369
0.010861498,0.017671507,0.015414059,0.020586193,0.012053114,0.013602871
0.010791788,0.015816325,0.015160188,0.019096255,0.012372935,0.014011379
0.0086727645,0.019846614,0.020981187,0.01892526,0.012636547,0.031381752
0.010438855,0.013881335,0.012843463,0.018850653,0.011928259,0.0077514793
0.007874469,0.016268123,0.014825795,0.019246545,0.011549134,0.013681706
0.0097304685,0.013543924,0.012182332,0.019257436,0.011138849,0.0061507095
0.007289376,0.015705803,0.016155493,0.019768236,0.011681218,0.01701702
0.0082042245,0.014988696,0.015161186,0.019464117,0.011644249,0.014375197
0.007913555,0.0131185455,0.011732914,0.01978389,0.010546457,0.004868396
0.00740202,0.013799179,0.012486172,0.01995319,0.010198086,0.0073072403
0.008103454,0.01230603,0.011916577,0.018996637,0.010874888,0.0058782087
0.007139303,0.014272467,0.014964097,0.018979132,0.011173671,0.014739489
0.0078332545,0.01147223,0.011174168,0.01835839,0.010086155,0.0050779595
0.0061243027,0.01171348,0.010836273,0.017950056,0.009141948,0.0054168184
0.0071395375,0.010917288,0.009965885,0.017591693,0.009130456,0.0031755054
0.0065002055,0.01214124,0.011990396,0.01747929,0.009526151,0.008965749
0.006630998,0.011459072,0.011260976,0.017433193,0.009174729,0.0071750046
0.006366146,0.010348107,0.009758898,0.017661981,0.008823518,0.002791195
0.0062263086,0.010130481,0.009714442,0.017813567,0.008461817,0.0028679427
0.006283647,0.010298521,0.010546527,0.018003317,0.008173734,0.0054625333
0.0058512236,0.010651815,0.011128841,0.017949248,0.007978104,0.0074591693
0.0058798026,0.009294419,0.009108319,0.017584475,0.0072220676,0.0025184143
0.005873067,0.009270176,0.009033907,0.017495733,0.0069051697,0.0027008224
0.005745969,0.0093644615,0.009730348,0.017401496,0.007063716,0.004725832
0.0053706844,0.009483782,0.009974303,0.0171421,0.006860099,0.0059207096
0.0053135473,0.008591106,0.008541574,0.01710231,0.0064879344,0.0020344753
0.0054589505,0.008300006,0.0083378125,0.016810767,0.006230539,0.0019721324
0.0050398186,0.008838325,0.009548473,0.01705201,0.006300108,0.0052933004
0.0049734744,0.008350867,0.008869559,0.016697826,0.006051849,0.003859002
0.0049933433,0.0077529433,0.007978108,0.016201079,0.005714172,0.0020190747
0.0047345944,0.007725175,0.0079924315,0.01596258,0.0056511587,0.0023635537
0.0048897946,0.008453967,0.009188789,0.016120445,0.005641922,0.0058040004
0.0048141265,0.0075686486,0.008192573,0.016386254,0.0054377974,0.0027536708
0.004516897,0.00725063,0.007919912,0.016582815,0.0053485357,0.0018283884
0.0048335544,0.0074036145,0.008341109,0.01665201,0.0053238715,0.0030474463
0.0045298073,0.007831591,0.009026847,0.016605148,0.005452241,0.005023151
0.004711754,0.007080291,0.007923225,0.01640337,0.0052405144,0.0021257896
0.0043891207,0.006815389,0.008109064,0.016453959,0.0057475762,0.0021256579
0.004398852,0.007385168,0.0089697335,0.017192323,0.0051623825,0.004554494
0.004262157,0.0068962844,0.00801205,0.01626581,0.0049948087,0.0027755303
0.0041201664,0.006751603,0.007492057,0.015604038,0.004895783,0.0019763536
0.0040394836,0.006975417,0.007809724,0.015228795,0.0048549455,0.0033454339
0.004183187,0.0071356692,0.008105744,0.014781091,0.0048570544,0.004679086
0.004081376,0.006344727,0.00722833,0.014758443,0.004766041,0.0021605047
0.0040364754,0.0062134853,0.007452645,0.01528932,0.004780793,0.0022878249
0.0037331919,0.00665786,0.0082166605,0.015829027,0.004635782,0.004185174
0.003824761,0.0060606813,0.007180589,0.0148588,0.0045165103,0.0021664575
0.0038260266,0.0062935473,0.0070847007,0.014664817,0.004341847,0.0022474397
0.0037109728,0.0065987725,0.0075886203,0.014322976,0.0044127516,0.0040301313
0.0039032912,0.0059662936,0.0071598906,0.014400028,0.0042371945,0.0028424507
0.003714321,0.005678237,0.007041521,0.015090002,0.0041660196,0.0018685439
0.0036648978,0.0057548773,0.00730829,0.015406425,0.004109981,0.0024084644
0.0035914932,0.0058572777,0.007217249,0.014634443,0.0040778634,0.002939439
0.0036784138,0.005909662,0.0068284003,0.014496938,0.003982818,0.002005446
0.0035069576,0.0058580223,0.0070099593,0.014051025,0.003916302,0.0030625518
0.0035676877,0.005537152,0.0069411895,0.014243556,0.00379511,0.0027849027
0.00363373,0.0052994015,0.0067209005,0.014919212,0.0036738955,0.0015695952
0.0035958106,0.005318184,0.0065469006,0.01398334,0.003634542,0.0020228198
0.0036155756,0.005628626,0.006856235,0.0136779025,0.0037705672,0.003120236
0.003334352,0.005516444,0.0066425437,0.0136504695,0.0035268613,0.0027502999
0.0032327222,0.005188392,0.0064221537,0.01386055,0.0034647724,0.0019411419
0.0031866701,0.005071945,0.0066134445,0.014437696,0.003380961,0.0020216764
0.0031446437,0.0050520576,0.006492214,0.013602767,0.0034602724,0.002413602
0.003341318,0.005019463,0.0061341426,0.012951575,0.0032080573,0.002242793
0.0031848347,0.00499411,0.0060945204,0.013069251,0.003124321,0.0020899894
0.0031692784,0.0048193433,0.0062636966,0.013291017,0.0031329298,0.002367144
0.0030579546,0.0047430056,0.006602498,0.014538864,0.0032713974,0.0019972327
0.0030673295,0.004616075,0.006285907,0.014005099,0.0029935206,0.0018591004
0.0031466703,0.0049558794,0.006063544,0.012889675,0.003114882,0.0021860758
0.0028456396,0.0049577043,0.00629188,0.012285075,0.0032308134,0.003359751
0.003166741,0.0044421256,0.0059319925,0.013041369,0.0030019025,0.0017527064
0.0029842516,0.004504401,0.0058138585,0.012752044,0.003049177,0.0016403567
0.0028731863,0.0046191905,0.005848494,0.012232792,0.002829355,0.002483336
0.0026822162,0.0046456964,0.0057583675,0.012073743,0.0029334426,0.0022679176
0.0027897342,0.0042939675,0.0054528434,0.01151134,0.0027618653,0.0020853246
0.0028915405,0.0044443905,0.006010519,0.013246698,0.0028036074,0.001981253
0.0030488893,0.004167712,0.0055015245,0.012088477,0.0026182372,0.0017978629
0.0026374585,0.0045957295,0.0057916013,0.012482328,0.002559962,0.0023325118
0.0026278147,0.004450538,0.0057515134,0.012478172,0.0025459796,0.0022303895
