train_loss,validation_loss,test_loss,S1_loss,S2_loss,S3_loss
0.16716222,0.32133847,0.31983465,0.22982706,0.26872256,0.46095443
0.1628654,0.30244616,0.2974206,0.20569502,0.22992462,0.45664215
0.15081824,0.26683187,0.25693446,0.15773281,0.16520767,0.447863
0.13225374,0.22506984,0.21099468,0.10481845,0.091208324,0.4369572
0.10963627,0.19935468,0.19078416,0.082029365,0.069019504,0.4213036
0.09855066,0.1736896,0.17181294,0.066186845,0.05637559,0.39287636
0.08811914,0.16741343,0.16968383,0.06148011,0.03843935,0.4091321
0.08122497,0.1617651,0.1691822,0.09190931,0.07764572,0.33799157
0.08896191,0.13444896,0.13942501,0.065586835,0.048498888,0.30418932
0.06808326,0.13754022,0.14586532,0.06875945,0.058906388,0.30993018
0.06755633,0.10042862,0.10580208,0.05514949,0.038555082,0.2237017
0.05329616,0.0749865,0.07857653,0.037976354,0.027654491,0.17009877
0.0422443,0.065407,0.07417686,0.04601879,0.03660424,0.13990758
0.035273515,0.03936278,0.04162185,0.028670274,0.028633006,0.06756226
0.02437379,0.028752482,0.029702574,0.02599559,0.03291737,0.03019476
0.017229393,0.03769683,0.039765902,0.030218484,0.035068806,0.054010414
0.020299286,0.11791569,0.11289813,0.06742241,0.036946848,0.23432516
0.0628611,0.17481636,0.20938642,0.040247373,0.02577116,0.56214076
0.095556885,0.033037055,0.034632493,0.027109118,0.023405408,0.053382948
0.018115431,0.09893785,0.10141653,0.03107602,0.027562454,0.24561113
0.056059465,0.063703716,0.06431026,0.031342894,0.02968719,0.1319007
0.037336413,0.029630367,0.031681754,0.037252735,0.02936698,0.028425548
0.016552938,0.07137264,0.0837011,0.045696486,0.0327872,0.17261961
0.037501633,0.06927405,0.08004362,0.040054437,0.03021452,0.16986193
0.035586726,0.04065758,0.043137748,0.032459367,0.023704844,0.073249035
0.020982765,0.037795365,0.0361731,0.030702641,0.019818569,0.057998113
0.020818075,0.0511021,0.049602643,0.031091794,0.018393243,0.099322885
0.030132417,0.051696505,0.050361976,0.030339193,0.018226927,0.102519795
0.030176546,0.040876005,0.039371837,0.029515972,0.019589188,0.069010355
0.0222118,0.0386902,0.039054386,0.029825559,0.021831991,0.06550562
0.020756673,0.048330866,0.052019138,0.030525213,0.023022544,0.10250968
0.024688745,0.051771346,0.05702931,0.030578317,0.022574902,0.11793471
0.02661851,0.04066169,0.044302985,0.030016053,0.020786291,0.08210661
