train_loss,validation_loss,test_loss,S1_loss,S2_loss,S3_loss
0.1669786,0.3282241,0.32613117,0.23303679,0.27241972,0.47293708
0.16436101,0.31274053,0.30868483,0.21826126,0.24695429,0.46083903
0.1569052,0.28489298,0.2760756,0.18819821,0.18549198,0.45453653
0.14177471,0.248203,0.23385338,0.14152783,0.11014336,0.44988906
0.12465612,0.22078745,0.2052742,0.10074465,0.06020533,0.45487258
0.10740829,0.20954551,0.20446065,0.090537965,0.06735099,0.455493
0.103690386,0.18331677,0.18087691,0.05790527,0.041273735,0.44345176
0.09031044,0.17532633,0.17368755,0.054805554,0.0440425,0.4222146
0.088966705,0.17300034,0.17721546,0.06405466,0.049225938,0.41836578
0.089029595,0.16479248,0.17051743,0.068802014,0.045096453,0.39765382
0.08361929,0.14927945,0.15426864,0.06210658,0.03881407,0.36188525
0.07817142,0.13290499,0.13546307,0.045892343,0.030137498,0.33035943
0.07057048,0.11951512,0.12126293,0.039189693,0.022062438,0.3025366
0.061368495,0.09242058,0.09610923,0.035892285,0.023635687,0.2287997
0.049761895,0.07401705,0.08080352,0.04747517,0.03402035,0.16091508
0.043130033,0.07050676,0.08500238,0.033568077,0.027908983,0.19353008
0.040997732,0.14266665,0.13456626,0.053052884,0.02333718,0.32730874
0.08027734,0.056286007,0.069907464,0.028136304,0.019141093,0.16244501
0.03271428,0.103958376,0.13003659,0.042330522,0.026334934,0.32144436
0.05597489,0.035724323,0.038965676,0.036160212,0.025411688,0.055325132
0.021127414,0.08606675,0.08560205,0.03244703,0.02744987,0.19690925
0.049566507,0.050665878,0.05011363,0.031861007,0.026840914,0.091638975
0.030483823,0.044658367,0.0502691,0.034397922,0.028340474,0.0880689
0.024472656,0.07036894,0.08093253,0.034205023,0.027329054,0.1812635
0.037681833,0.037756685,0.04109672,0.027362859,0.019571645,0.07635565
0.020205183,0.032778252,0.031724785,0.026584111,0.0166644,0.051925845
0.018951513,0.047621097,0.047714107,0.027476773,0.019044647,0.0966209
0.029531935,0.02651273,0.026045611,0.023904163,0.019807674,0.034425
0.015472167,0.03700224,0.04005889,0.023736542,0.019019399,0.077420734
0.018630914,0.04303965,0.047088936,0.0233144,0.018273761,0.09967865
0.021936176,0.02229571,0.021991096,0.02155127,0.01747327,0.026948748
0.012574617,0.027532093,0.026483934,0.02282484,0.016808294,0.039818678
0.016034223,0.027320849,0.026343051,0.021907933,0.015743822,0.041377407
0.017005863,0.017148258,0.016394075,0.01926613,0.015787365,0.014128723
0.009926532,0.030217905,0.032886345,0.022047834,0.017974332,0.05863687
0.015925888,0.022604277,0.024278073,0.023085414,0.017095337,0.032653462
0.012350673,0.018004596,0.01751965,0.023326294,0.0146661885,0.014566464
0.010726303,0.024771746,0.024330491,0.024772441,0.013710615,0.03450842
0.0142407,0.015314397,0.01486532,0.023351783,0.013259314,0.007984866
0.008800863,0.022676744,0.025454521,0.022973621,0.013798934,0.039591007
0.01244311,0.019606208,0.021434065,0.021536663,0.013038312,0.029727222
0.010807123,0.014674577,0.0137237385,0.020243013,0.012307596,0.008620609
